fpath,subject,session,task,run
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/STL7052_6m_20210730_014405/STL7052_6m_20210730_014405_proc-cleaned_raw.fif,STL7052,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/STL7068-6M_20180106_061903/STL7068-6M_20180106_061903_proc-cleaned_raw.fif,STL7068,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/STL7071_6m_20211213_094929/STL7071_6m_20211213_094929_proc-cleaned_raw.fif,STL7071,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/STL7100_6m_20220520_094102/STL7100_6m_20220520_094102_proc-cleaned_raw.fif,STL7100,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/STL7100_12m_20221114_112939/STL7100_12m_20221114_112939_proc-cleaned_raw.fif,STL7100,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/STL7108_6m_20220610_094025/STL7108_6m_20220610_094025_proc-cleaned_raw.fif,STL7108,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/STL7108_12m_20221221_024628/STL7108_12m_20221221_024628_proc-cleaned_raw.fif,STL7108,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/STL7111_6m_20220411_092225/STL7111_6m_20220411_092225_proc-cleaned_raw.fif,STL7111,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/STL7122_12m_20230621_084116/STL7122_12m_20230621_084116_proc-cleaned_raw.fif,STL7122,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/STL7127_12m_20230706_113140/STL7127_12m_20230706_113140_proc-cleaned_raw.fif,STL7127,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/STL7128_6m_20230220_015342/STL7128_6m_20230220_015342_proc-cleaned_raw.fif,STL7128,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/UMN7002_6m_20200211_100939/UMN7002_6m_20200211_100939_proc-cleaned_raw.fif,UMN7002,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/UMN7007_12m_20210528_115005/UMN7007_12m_20210528_115005_proc-cleaned_raw.fif,UMN7007,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/UMN7010_12_20210803_093241/UMN7010_12_20210803_093241_proc-cleaned_raw.fif,UMN7010,999,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/UMN7012_12m_20210712_085017/UMN7012_12m_20210712_085017_proc-cleaned_raw.fif,UMN7012,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/UMN7014_6m_20210512_113736/UMN7014_6m_20210512_113736_proc-cleaned_raw.fif,UMN7014,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/UMN7014_12m_20210915_091618/UMN7014_12m_20210915_091618_proc-cleaned_raw.fif,UMN7014,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/UMN7015_6m_20210823_091618/UMN7015_6m_20210823_091618_proc-cleaned_raw.fif,UMN7015,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/UMN7019_12m_20220506_091041/UMN7019_12m_20220506_091041_proc-cleaned_raw.fif,UMN7019,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/UMN7039_v6_20230520_111625/UMN7039_v6_20230520_111625_proc-cleaned_raw.fif,UMN7039,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/UMN7043_v6/UMN7043_v6_proc-cleaned_raw.fif,UMN7043,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/UMN7053_6.23.23_20230623_113620/UMN7053_6.23.23_20230623_113620_proc-cleaned_raw.fif,UMN7053,999,aep,1
